,k5,k12,Interlimb,BodyWidth,PelvicWidth,PelvicHeight,HeadWidth,SnoutEye,EyeDiameter,HeadDepth,TailWidth,TailLength,UpperArm,LowerArm,Hand,UpperLeg,LowerLeg,Foot,Neck,PosSkull,Size,Genus,Genus_species
Ctenophorus_nguyarna,4,6,1.055870784,0.48967377,-0.390621231,-0.417689668,0.181890519,-1.534965954,-1.126769848,-0.184161808,-0.402006553,2.224727865,-0.189844987,-0.155073078,-0.117706589,0.172513136,0.258311657,0.522471359,-0.027147968,-0.359471406,2.543835868,Ctenophorus_nguyarna,Ctenophorus_nguyarna
Ctenophorus_parviceps,4,6,1.070225436,0.495127876,-0.412945276,-0.39156625,0.206023196,-1.39822888,-1.151715229,-0.161426527,-0.354025962,2.040830455,-0.153946527,-0.270089673,-0.152173792,0.1378965,0.285017875,0.581922899,0.055908267,-0.426834388,2.106264673,Ctenophorus_parviceps,Ctenophorus_parviceps
Diporiphora_bennettii,4,6,0.925464126,0.389886592,-0.59500301,-0.32462044,0.237448801,-1.133927977,-1.108502879,-0.062873632,-0.640593491,2.087519645,-0.146255241,-0.121313143,-0.143700962,0.121162141,0.204455661,0.462550791,0.025729614,-0.177426596,2.202939796,Diporiphora_bennettii,Diporiphora_bennettii
Diporiphora_pallida,4,6,1.03144563,0.17170417,-0.541564414,-0.269243627,0.222200334,-1.374067115,-0.870746217,-0.013809728,-0.666998596,2.386915633,-0.203351533,-0.158017992,-0.07563411,0.125847944,0.181615054,0.541342533,-0.210624292,-0.277013673,2.134872944,Diporiphora_pallida,Diporiphora_pallida
Rankinia_diemensis,4,6,1.071788042,0.527483742,-0.249161151,-0.201915709,0.240543125,-1.164001556,-1.258949483,-0.093974309,-0.585923705,2.164573186,-0.128533163,-0.283613377,-0.188166638,0.05970283,0.116328242,0.450255643,-0.146707614,-0.329728105,2.584697344,Rankinia_diemensis,Rankinia_diemensis
Tympanocryptis_argillosa,4,6,1.059103916,0.459615903,-0.451418927,-0.306128862,0.30478022,-1.424136639,-1.015933411,-0.08938299,-0.633118731,2.118881227,-0.06012153,-0.234961382,-0.124319666,0.187883132,0.184125494,0.40075375,-0.099017874,-0.276603629,2.17908422,Tympanocryptis_argillosa,Tympanocryptis_argillosa
Tympanocryptis_centralis,4,6,0.985635436,0.437565772,-0.458506819,-0.312201301,0.30072168,-1.537894948,-1.063173238,-0.090278007,-0.576352877,2.148756507,-0.088013,-0.180768145,-0.066662327,0.118069724,0.17370847,0.39682523,0.043253386,-0.230685544,2.193191904,Tympanocryptis_centralis,Tympanocryptis_centralis
Tympanocryptis_condaminensis,4,6,1.02655187,0.494302048,-0.407946603,-0.226821935,0.227700341,-1.539212019,-1.116939792,-0.130915722,-0.677789205,2.104709959,-0.067673378,-0.158760968,-0.098794684,0.127855007,0.236530023,0.49872867,-0.023665801,-0.26785781,2.397873638,Tympanocryptis_condaminensis,Tympanocryptis_condaminensis
Tympanocryptis_darlingensis,4,6,1.11828069,0.627237384,-0.400606441,-0.256723516,0.229456764,-1.429898401,-1.119743472,-0.19976208,-0.745190089,2.133817911,-0.143546782,-0.156505009,-0.109518602,0.139322122,0.202647087,0.413109799,0.017514776,-0.319892141,2.392309068,Tympanocryptis_darlingensis,Tympanocryptis_darlingensis
Tympanocryptis_hobsoni,4,6,0.986901773,0.514977564,-0.369647519,-0.227185974,0.189302868,-1.533620359,-1.107321164,-0.173093749,-0.672137863,1.954344705,-0.077660838,-0.149301632,-0.057413132,0.209765526,0.283829656,0.513619637,-0.049825237,-0.235534263,2.357795802,Tympanocryptis_hobsoni,Tympanocryptis_hobsoni
