"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus ornatus",43.74,23.92,9.82,9.13,17.85,3.93,4.93,8.58,10.4,152,12.03,11.8,14.2,19.2,21.56,27.5,17.48,10.01
"Ctenophorus ornatus",41.36,20.69,8.26,7.39,17.21,2.93,4.26,8.32,11.21,155,12.6,11.94,13.24,20.76,22.1,27.32,17.27,10.63
"Ctenophorus ornatus",38.91,24.58,8.54,8.07,18.62,3.33,4.21,9.49,12.05,136,13.49,11.7,14.19,22.18,22.19,30.7,18.31,10.63
"Ctenophorus parviceps",21.77,12.28,5.46,5.38,9.88,1.58,2.76,7,5.76,73,6.52,6.98,7.02,10.36,11.91,14.76,9.3,5.4
"Ctenophorus parviceps",25.65,12.69,5.75,5.02,10.57,2.32,2.67,7.05,6.03,61,7.41,6.36,7.52,9.5,10.81,14.81,8.41,4.87
"Ctenophorus parviceps",28.02,16.11,5.8,5.53,10.19,2.23,2.44,7.26,5.55,58,7.13,5.53,6.81,8.76,9.97,13.94,8.6,5.39
"Ctenophorus parviceps",20.41,12.85,4.74,6.29,9.75,1.99,2.52,6.66,5.73,61,7.12,6.22,6.88,9.11,11.02,15.31,8.45,5.79
"Ctenophorus pictus",27.5,13.08,5.88,8.52,13.24,3.23,3.13,9.21,6.92,111,7.49,8.74,9.9,13.21,15.55,20.07,13.84,8
"Ctenophorus pictus",30.4,14.61,7.22,8.96,14.78,2.93,3.89,10.17,9.07,110,8.75,9.61,9.07,14.31,15.8,19.52,11.07,8.4
"Ctenophorus pictus",33.92,19.62,6.32,7.99,12.75,2.92,3,9.2,6.46,116,8.68,9.42,9.49,13.78,15.65,20.67,11.54,7.96
